time,open,high,low,close,tick_volume,spread,real_volume
2026-04-24 10:00:00,1.16783,1.16937,1.16758,1.1690800000000001,3587,0,0
2026-04-24 11:00:00,1.1690800000000001,1.16958,1.16829,1.16898,4706,0,0
2026-04-24 12:00:00,1.16898,1.1690800000000001,1.16832,1.16864,3240,0,0
2026-04-24 13:00:00,1.16864,1.17035,1.16845,1.17032,2631,0,0
2026-04-24 14:00:00,1.17032,1.17184,1.17019,1.17144,7531,0,0
2026-04-24 15:00:00,1.17144,1.17174,1.17013,1.17087,4974,0,0
2026-04-24 16:00:00,1.17089,1.1712500000000001,1.16985,1.17068,5554,0,0
2026-04-24 17:00:00,1.17068,1.17168,1.17002,1.17059,7133,0,0
2026-04-24 18:00:00,1.17059,1.17198,1.17005,1.17167,6135,0,0
2026-04-24 19:00:00,1.17166,1.17197,1.17123,1.1719,3900,0,0
2026-04-24 20:00:00,1.1719,1.17211,1.1711,1.17134,3464,0,0
2026-04-24 21:00:00,1.17135,1.17196,1.17105,1.17177,2638,0,0
2026-04-24 22:00:00,1.17177,1.17209,1.17145,1.17185,2674,1,0
2026-04-24 23:00:00,1.17184,1.17229,1.17154,1.17195,1985,0,0
2026-04-27 00:00:00,1.1693500000000001,1.1709100000000001,1.16852,1.17078,691,0,0
2026-04-27 01:00:00,1.17078,1.1712,1.1703999999999999,1.17078,1027,2,0
2026-04-27 02:00:00,1.17078,1.17094,1.17049,1.17054,934,1,0
2026-04-27 03:00:00,1.17055,1.1717,1.17055,1.17159,2085,0,0
2026-04-27 04:00:00,1.17159,1.17268,1.17155,1.17241,3513,0,0
2026-04-27 05:00:00,1.17241,1.17282,1.17193,1.17264,1716,2,0
2026-04-27 06:00:00,1.17264,1.17325,1.17262,1.17294,1644,0,0
2026-04-27 07:00:00,1.17294,1.17315,1.17241,1.17266,1323,1,0
2026-04-27 08:00:00,1.17266,1.17279,1.17212,1.1722299999999999,1906,1,0
2026-04-27 09:00:00,1.1722299999999999,1.17297,1.17165,1.17292,2864,0,0
2026-04-27 10:00:00,1.17292,1.1745,1.17287,1.17439,3994,0,0
2026-04-27 11:00:00,1.17438,1.17508,1.17387,1.17484,4744,0,0
2026-04-27 12:00:00,1.17484,1.17508,1.17403,1.17422,2759,1,0
2026-04-27 13:00:00,1.17422,1.17477,1.17383,1.17459,2663,0,0
2026-04-27 14:00:00,1.17459,1.1747,1.1736900000000001,1.17412,3056,0,0
2026-04-27 15:00:00,1.17412,1.17549,1.17401,1.17443,4573,0,0
2026-04-27 16:00:00,1.17447,1.17539,1.17349,1.17399,5548,0,0
2026-04-27 17:00:00,1.17399,1.17481,1.17329,1.17359,5685,0,0
2026-04-27 18:00:00,1.1736,1.17367,1.17286,1.17306,3981,0,0
2026-04-27 19:00:00,1.17306,1.17338,1.17242,1.1726,2635,0,0
2026-04-27 20:00:00,1.1726,1.17299,1.17194,1.17231,2702,0,0
2026-04-27 21:00:00,1.17231,1.1724700000000001,1.17183,1.17199,1742,1,0
2026-04-27 22:00:00,1.17199,1.17258,1.1719,1.17204,1847,0,0
2026-04-27 23:00:00,1.17204,1.17231,1.17194,1.17203,967,2,0
2026-04-28 00:00:00,1.17204,1.17243,1.17188,1.17209,277,6,0
2026-04-28 01:00:00,1.17209,1.17231,1.17192,1.17221,901,3,0
2026-04-28 02:00:00,1.17221,1.1723,1.17199,1.17229,635,2,0
2026-04-28 03:00:00,1.1723,1.17269,1.17157,1.17188,2174,1,0
2026-04-28 04:00:00,1.17187,1.17187,1.17112,1.17127,1858,2,0
2026-04-28 05:00:00,1.17127,1.17135,1.17076,1.17081,1733,0,0
2026-04-28 06:00:00,1.17081,1.17178,1.17076,1.17133,2126,0,0
2026-04-28 07:00:00,1.17133,1.17163,1.17105,1.17124,1547,1,0
2026-04-28 08:00:00,1.17124,1.17132,1.17047,1.17059,1921,0,0
2026-04-28 09:00:00,1.17057,1.1708,1.16859,1.16875,4009,0,0
2026-04-28 10:00:00,1.16875,1.17007,1.16853,1.16965,4491,0,0
2026-04-28 11:00:00,1.16966,1.17077,1.16948,1.17021,4561,0,0
2026-04-28 12:00:00,1.17021,1.17021,1.16855,1.16922,4262,0,0
2026-04-28 13:00:00,1.16923,1.16957,1.16895,1.16931,3244,0,0
2026-04-28 14:00:00,1.16931,1.16993,1.16816,1.16829,4732,0,0
2026-04-28 15:00:00,1.16829,1.16998,1.16773,1.16968,5880,0,0
2026-04-28 16:00:00,1.1697,1.17037,1.16878,1.16974,6724,0,0
2026-04-28 17:00:00,1.16974,1.17032,1.16894,1.17009,7048,0,0
2026-04-28 18:00:00,1.17008,1.17156,1.17008,1.17136,5881,0,0
2026-04-28 19:00:00,1.17136,1.17169,1.17047,1.17105,3773,0,0
2026-04-28 20:00:00,1.17105,1.17176,1.17053,1.17135,2875,0,0
2026-04-28 21:00:00,1.17135,1.17161,1.17103,1.17115,2475,0,0
2026-04-28 22:00:00,1.17115,1.1715200000000001,1.17057,1.17097,1912,0,0
2026-04-28 23:00:00,1.17096,1.17149,1.17086,1.1712,1194,2,0
2026-04-29 00:00:00,1.17108,1.1715200000000001,1.17097,1.17127,481,10,0
2026-04-29 01:00:00,1.1712799999999999,1.1718,1.1712799999999999,1.17155,1132,2,0
2026-04-29 02:00:00,1.17155,1.17175,1.17143,1.17174,588,1,0
2026-04-29 03:00:00,1.17175,1.17205,1.17143,1.17155,1321,1,0
2026-04-29 04:00:00,1.17155,1.1716,1.17061,1.17119,3216,1,0
2026-04-29 05:00:00,1.17119,1.17167,1.17062,1.1707,1880,1,0
2026-04-29 06:00:00,1.1707,1.17107,1.17038,1.17049,1421,1,0
2026-04-29 07:00:00,1.1705,1.17076,1.17034,1.17055,1080,0,0
2026-04-29 08:00:00,1.17055,1.17058,1.16975,1.16995,1690,0,0
2026-04-29 09:00:00,1.16998,1.1703999999999999,1.16958,1.16998,2806,0,0
2026-04-29 10:00:00,1.16998,1.17082,1.16974,1.17051,3264,0,0
2026-04-29 11:00:00,1.17049,1.17057,1.16931,1.17001,3711,0,0
2026-04-29 12:00:00,1.17001,1.17044,1.16957,1.16974,3054,0,0
2026-04-29 13:00:00,1.16974,1.17093,1.16958,1.17083,2627,0,0
2026-04-29 14:00:00,1.17083,1.17097,1.16988,1.17008,3134,0,0
2026-04-29 15:00:00,1.17008,1.17081,1.16932,1.16989,4618,0,0
2026-04-29 16:00:00,1.16989,1.17032,1.1682299999999999,1.16888,6546,0,0
2026-04-29 17:00:00,1.16888,1.1703000000000001,1.16832,1.17009,5598,0,0
2026-04-29 18:00:00,1.1700599999999999,1.1703999999999999,1.1687400000000001,1.16947,6734,0,0
2026-04-29 19:00:00,1.16947,1.16987,1.16827,1.16846,4441,0,0
2026-04-29 20:00:00,1.16846,1.16889,1.16794,1.16868,3917,0,0
2026-04-29 21:00:00,1.16868,1.16905,1.166,1.16721,8650,0,0
2026-04-29 22:00:00,1.16721,1.16804,1.16663,1.1676199999999999,4491,0,0
2026-04-29 23:00:00,1.1676199999999999,1.16774,1.16706,1.16743,2380,0,0
2026-04-30 00:00:00,1.16775,1.16788,1.16598,1.16727,2465,0,0
2026-04-30 01:00:00,1.16727,1.16785,1.1671,1.16776,1246,2,0
2026-04-30 02:00:00,1.16776,1.16863,1.16755,1.16845,1073,2,0
2026-04-30 03:00:00,1.16845,1.16892,1.16791,1.16791,3142,1,0
2026-04-30 04:00:00,1.16792,1.16817,1.16728,1.16738,2908,0,0
2026-04-30 05:00:00,1.16738,1.16766,1.16618,1.16668,3141,0,0
2026-04-30 06:00:00,1.16668,1.1671,1.16644,1.16658,2090,0,0
2026-04-30 07:00:00,1.16658,1.1666,1.16543,1.166,2806,0,0
2026-04-30 08:00:00,1.166,1.16646,1.1657899999999999,1.16593,2730,0,0
2026-04-30 09:00:00,1.16592,1.16705,1.16577,1.16703,4221,0,0
2026-04-30 10:00:00,1.16703,1.16837,1.167,1.1679599999999999,4346,0,0
2026-04-30 11:00:00,1.16795,1.16974,1.16742,1.16794,6483,0,0
2026-04-30 12:00:00,1.1679599999999999,1.16973,1.16732,1.16943,5859,0,0
2026-04-30 13:00:00,1.16943,1.17151,1.16881,1.17147,9458,0,0
2026-04-30 14:00:00,1.17147,1.17195,1.17028,1.17048,10113,0,0
2026-04-30 15:00:00,1.17048,1.17055,1.16886,1.16926,8668,0,0
2026-04-30 16:00:00,1.16926,1.17008,1.16817,1.169,8740,0,0
2026-04-30 17:00:00,1.16901,1.17332,1.16862,1.17276,10868,0,0
2026-04-30 18:00:00,1.17277,1.17357,1.17221,1.17275,8961,0,0
2026-04-30 19:00:00,1.17276,1.17355,1.17224,1.17254,4333,0,0
2026-04-30 20:00:00,1.17254,1.17323,1.17217,1.17249,4305,0,0
2026-04-30 21:00:00,1.17249,1.174,1.17249,1.17363,3386,0,0
2026-04-30 22:00:00,1.17361,1.17416,1.17315,1.1733500000000001,3536,0,0
2026-04-30 23:00:00,1.17334,1.17362,1.17291,1.17306,2337,0,0
2026-05-01 00:00:00,1.17316,1.17351,1.17264,1.17322,775,1,0
2026-05-01 01:00:00,1.17322,1.17359,1.1728399999999999,1.17312,1112,2,0
2026-05-01 02:00:00,1.17312,1.17329,1.17279,1.17286,1265,2,0
2026-05-01 03:00:00,1.17287,1.17297,1.1723,1.17276,3318,0,0
2026-05-01 04:00:00,1.17276,1.17328,1.17243,1.17302,2073,0,0
2026-05-01 05:00:00,1.17303,1.1734,1.17289,1.1733500000000001,1724,0,0
2026-05-01 06:00:00,1.1733500000000001,1.17363,1.17302,1.17311,1880,1,0
2026-05-01 07:00:00,1.17311,1.17323,1.1724999999999999,1.17266,1909,0,0
2026-05-01 08:00:00,1.17266,1.17271,1.17208,1.17224,1786,0,0
2026-05-01 09:00:00,1.17224,1.17449,1.17179,1.17354,5260,0,0
2026-05-01 10:00:00,1.17354,1.17419,1.173,1.17344,6690,0,0
2026-05-01 11:00:00,1.17344,1.1748,1.17312,1.17434,5137,0,0
2026-05-01 12:00:00,1.17435,1.17438,1.17303,1.17313,4216,0,0
2026-05-01 13:00:00,1.17313,1.1745700000000001,1.1730800000000001,1.17446,3017,0,0
2026-05-01 14:00:00,1.17446,1.17582,1.17434,1.17513,3780,0,0
2026-05-01 15:00:00,1.17513,1.17689,1.17473,1.17574,5793,0,0
2026-05-01 16:00:00,1.17574,1.17637,1.17434,1.1762,7183,0,0
2026-05-01 17:00:00,1.1762,1.17852,1.17602,1.17673,8730,0,0
2026-05-01 18:00:00,1.17673,1.17707,1.17532,1.17549,6660,0,0
2026-05-01 19:00:00,1.17546,1.17571,1.17372,1.17381,5008,0,0
2026-05-01 20:00:00,1.17381,1.17404,1.17291,1.1733,3501,0,0
2026-05-01 21:00:00,1.1733,1.17339,1.17193,1.17273,4129,0,0
2026-05-01 22:00:00,1.17273,1.17283,1.17166,1.17195,2432,0,0
2026-05-01 23:00:00,1.17194,1.1722299999999999,1.1715200000000001,1.17179,1752,2,0
2026-05-04 00:00:00,1.17439,1.1749,1.17383,1.17411,1137,0,0
2026-05-04 01:00:00,1.17411,1.17419,1.17266,1.17331,2092,0,0
2026-05-04 02:00:00,1.17331,1.17331,1.17248,1.17257,1318,0,0
2026-05-04 03:00:00,1.17258,1.17288,1.17206,1.1727,2885,0,0
2026-05-04 04:00:00,1.1727,1.17291,1.172,1.17238,2947,0,0
2026-05-04 05:00:00,1.17251,1.17286,1.17224,1.1727400000000001,2269,0,0
2026-05-04 06:00:00,1.1727400000000001,1.17389,1.17238,1.17374,3811,0,0
2026-05-04 07:00:00,1.17375,1.17382,1.17269,1.17288,2215,0,0
2026-05-04 08:00:00,1.17288,1.17323,1.17254,1.17306,2708,0,0
2026-05-04 09:00:00,1.17306,1.17371,1.17206,1.17288,4308,0,0
2026-05-04 10:00:00,1.17288,1.17291,1.17145,1.17178,4015,0,0
2026-05-04 11:00:00,1.17177,1.17231,1.17113,1.17191,4232,0,0
2026-05-04 12:00:00,1.17191,1.17237,1.1715,1.1717,3567,0,0
2026-05-04 13:00:00,1.1717,1.17172,1.16878,1.17041,9290,0,0
2026-05-04 14:00:00,1.17041,1.17085,1.1692,1.16931,5273,0,0
2026-05-04 15:00:00,1.16932,1.17124,1.1691,1.1709100000000001,5261,0,0
2026-05-04 16:00:00,1.17092,1.17178,1.17019,1.17149,7807,0,0
2026-05-04 17:00:00,1.17148,1.17163,1.17036,1.17072,6773,0,0
2026-05-04 18:00:00,1.17072,1.17156,1.1693,1.16971,10201,0,0
2026-05-04 19:00:00,1.16971,1.1701,1.16809,1.16822,8210,0,0
2026-05-04 20:00:00,1.16822,1.16971,1.16807,1.16934,4630,0,0
2026-05-04 21:00:00,1.16934,1.16977,1.1688,1.16972,4331,0,0
2026-05-04 22:00:00,1.1696900000000001,1.17022,1.16934,1.16949,3731,0,0
2026-05-04 23:00:00,1.16948,1.16948,1.16861,1.16907,1315,2,0
2026-05-05 00:00:00,1.16915,1.16975,1.1684700000000001,1.169,450,4,0
2026-05-05 01:00:00,1.169,1.16924,1.16879,1.169,897,2,0
2026-05-05 02:00:00,1.169,1.16927,1.1689,1.16916,680,1,0
2026-05-05 03:00:00,1.16917,1.16939,1.16838,1.16863,1706,1,0
2026-05-05 04:00:00,1.16864,1.16883,1.16788,1.16867,2055,0,0
2026-05-05 05:00:00,1.16867,1.16915,1.16851,1.1687400000000001,1476,1,0
2026-05-05 06:00:00,1.16873,1.1688,1.16826,1.16839,1330,1,0
2026-05-05 07:00:00,1.16838,1.16873,1.16765,1.16776,1733,0,0
2026-05-05 08:00:00,1.16776,1.16844,1.16761,1.16831,2355,1,0
2026-05-05 09:00:00,1.16831,1.16895,1.16794,1.16858,3367,0,0
2026-05-05 10:00:00,1.16858,1.16966,1.16856,1.16889,4068,0,0
2026-05-05 11:00:00,1.16886,1.16966,1.1684,1.16887,4051,0,0
2026-05-05 12:00:00,1.16886,1.16928,1.1681,1.16903,5011,0,0
2026-05-05 13:00:00,1.16902,1.16976,1.16865,1.16895,3420,0,0
2026-05-05 14:00:00,1.16895,1.1694499999999999,1.1682299999999999,1.1689,4235,0,0
